term,estimate,conf.low,conf.high,tau,sector
baseline,1.0204682461797283,0.9705122044125618,1.077795399057675,0.025,Ret_TS
(Intercept),-2.3606824457592643,-17.739597951451127,1.4947904295176042,0.05,Ret_TS
baseline,0.9909270216962521,0.9784000855489319,1.0389824133819923,0.05,Ret_TS
(Intercept),3.1368965517237677,-7.418837827872787,23.24274704604277,0.95,Ret_TS
baseline,1.001970443349755,0.9406505431062987,1.0354834901169938,0.95,Ret_TS
(Intercept),17.109748869914313,-1.7097335263938707,45.97641095214022,0.975,Ret_TS
baseline,0.9648417880462089,0.8883974351386902,1.0251920686956995,0.975,Ret_TS
(Intercept),15.060504719244886,11.296363966923003,25.523603891334684,0.025,Ret_S
baseline,0.9352903535434332,0.895206854506998,0.9532171994428394,0.025,Ret_S
(Intercept),8.582491846053799,7.159274714433935,14.9992853024267,0.05,Ret_S
baseline,0.959556425309849,0.9341624412466197,0.963926129227839,0.05,Ret_S
(Intercept),2.1270723387823196,-2.618167967331245,19.773478019696167,0.95,Ret_S
baseline,1.0067576264641525,0.9555756260005818,1.0246045683336027,0.95,Ret_S
(Intercept),10.937987043036353,2.4762190850692054,47.67269744798954,0.975,Ret_S
baseline,0.9842665432670039,0.8841571364134705,1.0116251266456593,0.975,Ret_S
(Intercept),13.364532425653984,-10.739680184010757,18.00244843390309,0.025,Ret_NS
baseline,0.9383733428878535,0.9283157682926958,1.0005917532978836,0.025,Ret_NS
(Intercept),3.1545875634519964,-8.335520482593948,9.718467693820983,0.05,Ret_NS
baseline,0.9739847715736034,0.950456226424224,1.0057269011003698,0.05,Ret_NS
(Intercept),2.2778266579121547,-3.805366999655661,17.045631712878375,0.95,Ret_NS
baseline,1.0078791858174652,0.9675345912130677,1.0260574156640714,0.95,Ret_NS
(Intercept),5.397415966386481,1.462251240618324,36.37769559971377,0.975,Ret_NS
baseline,1.000700280112045,0.9192730670941395,1.0147092165387952,0.975,Ret_NS
(Intercept),2.4928406466512776,-2.0860991996101577,3.991277701666598,0.025,RNFL_G
baseline,0.8129330254041568,0.7230831268792881,0.9882175153346006,0.025,RNFL_G
(Intercept),1.3682942430703706,0.3653233884653866,3.254532914366244,0.05,RNFL_G
baseline,0.8784648187633259,0.7938591307565532,0.9234069756874714,0.05,RNFL_G
(Intercept),3.2502766135792096,2.1874871355088135,4.037473505653006,0.95,RNFL_G
baseline,0.925398155909472,0.9031705164356054,0.9689678320184423,0.95,RNFL_G
(Intercept),5.1194920174165315,2.706449491892544,5.698588591788493,0.975,RNFL_G
baseline,0.8664731494920179,0.8432583193552705,0.9638646105253624,0.975,RNFL_G
(Intercept),3.700025839793276,1.195010515356975,6.691028288593304,0.025,RNFL_TI
baseline,0.702842377260982,0.5472947874297032,0.8241875498338325,0.025,RNFL_TI
(Intercept),4.286296296296306,0.7616533523907854,7.960491625784037,0.05,RNFL_TI
baseline,0.6913580246913575,0.5977616063070862,0.8099597825959867,0.05,RNFL_TI
(Intercept),-0.35509619896760725,-2.499183573124183,1.8602707576163962,0.95,RNFL_TI
baseline,1.142186766776161,1.0020754194741848,1.224046929510462,0.95,RNFL_TI
(Intercept),-0.34491757137112905,-0.8734279766719377,1.7805996897764238,0.975,RNFL_TI
baseline,1.1974266184157618,1.0885552926938902,1.1988997586147572,0.975,RNFL_TI
(Intercept),2.482912565141868,1.9641846880148586,3.3284963108768437,0.025,RNFL_I
baseline,0.7602779386218876,0.7213214532163514,0.7817249177001561,0.025,RNFL_I
(Intercept),1.5198876404494306,-0.11569906394501618,3.471300240563623,0.05,RNFL_I
baseline,0.8415730337078655,0.7420017908239195,0.90414711462126085,0.05,RNFL_I
(Intercept),3.881132623426919,2.8665694931974786,5.570391356946375,0.95,RNFL_I
baseline,0.9525653436592448,0.8931332139725501,0.9885210092643764,0.95,RNFL_I
(Intercept),5.204819672131148,2.2572438857024233,7.554026786075193,0.975,RNFL_I
baseline,0.9311475409836064,0.8469042434580617,1.0613965005577768,0.975,RNFL_I
(Intercept),1.8553132832080244,1.4181010908523601,2.367652090530999,0.025,RNFL_NI
baseline,0.8145363408521302,0.789473894983314,0.8386153033974081,0.025,RNFL_NI
(Intercept),1.8100000000000003,0.43276790557031997,2.2747607489044634,0.05,RNFL_NI
baseline,0.8297872340425532,0.8149271679895269,0.8875297725890474,0.05,RNFL_NI
(Intercept),4.7310034602076305,0.30574692226113404,7.112520381693864,0.95,RNFL_NI
baseline,0.9065743944636672,0.8280621901070719,1.0887155105582011,0.95,RNFL_NI
(Intercept),5.424470198675493,1.3764131462653864,10.321614477856162,0.975,RNFL_NI
baseline,0.9105960264900663,0.7475922973333204,1.1265441994138006,0.975,RNFL_NI
(Intercept),9.096051912568305,8.242278510810467,10.136961371499586,0.025,RNFL_TS
baseline,0.3620218579234974,0.3070633919204035,0.415235635392226,0.025,RNFL_TS
(Intercept),8.551431670282,8.268350187795997,10.137995616532113,0.05,RNFL_TS
baseline,0.41865509761388275,0.31594647491842087,0.4378282398185823,0.05,RNFL_TS
(Intercept),4.773853658536578,3.493728916387464,7.1069396628448684,0.95,RNFL_TS
baseline,0.8497560975609759,0.7057219740722248,0.9194970710127573,0.95,RNFL_TS
(Intercept),4.791234119782208,2.607263332097679,7.206037630678816,0.975,RNFL_TS
baseline,0.8784029038112526,0.7600488233466921,1.0431540175566512,0.975,RNFL_TS
(Intercept),-2.3242999999999983,-7.040705107829787,0.9101628773668686,0.025,RNFL_S
baseline,0.95125,0.8305919691123628,1.1209334755790512,0.025,RNFL_S
(Intercept),0.6657181571815686,-4.231087761469382,1.4524081091365735,0.05,RNFL_S
baseline,0.86449864498645,0.836148330236344,1.036600532765037,0.05,RNFL_S
(Intercept),6.162938388625568,4.277015284966967,7.7570593585578616,0.95,RNFL_S
baseline,0.8649289099526076,0.8192037918000659,0.9585314820139758,0.95,RNFL_S
(Intercept),8.862428298279145,5.6545683587410425,10.154244651668249,0.975,RNFL_S
baseline,0.8030592734225628,0.7605117498388948,0.9181957371715578,0.975,RNFL_S
(Intercept),0.91562937062937,0.770799626313795,4.699036287981219,0.025,RNFL_NS
baseline,0.8385780885780886,0.6694272157165252,0.8453149074073614,0.025,RNFL_NS
(Intercept),1.9632871012482656,1.1506489844366743,2.973228415051412,0.05,RNFL_NS
baseline,0.815071659731854,0.7618078961893328,0.8382703414500869,0.05,RNFL_NS
(Intercept),2.7937896253602297,0.9503778075588888,4.349564306768499,0.95,RNFL_NS
baseline,1.0043227665706052,0.9485941946199725,1.0723814704571026,0.95,RNFL_NS
(Intercept),3.252687140115147,1.9957339748847287,6.414936284979351,0.975,RNFL_NS
baseline,1.0038387715930908,0.9312206922880765,1.0618394714324755,0.975,RNFL_NS
